ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Age,Tenure_Days,TotalSpend,Education_Level,Income_log,TotalSpend_log,Cluster,Segment_Name
1994,1983,Graduation,Married,51373.0,1,0,2013-11-15,11,5,5,6,0,2,1,1,1,0,2,7,0,0,0,0,0,0,3,11,0,31,226,19,3,,2.995732273553991,0,Budget Shoppers
387,1976,Basic,Married,7500.0,0,0,2012-11-13,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,3,11,0,38,593,61,1,8.922791623969637,4.127134385045092,0,Budget Shoppers
2125,1959,Graduation,Divorced,63033.0,0,0,2013-11-15,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,3,11,0,55,226,1102,3,11.051429542337106,7.005789019253503,2,Family Focused
8180,1952,Master,Divorced,59354.0,1,1,2013-11-15,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,3,11,0,62,226,310,4,10.991291642487635,5.739792912179234,1,Premium Customers
2569,1987,Graduation,Married,17323.0,0,0,2012-10-10,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,3,11,0,27,627,46,3,9.759848102334518,3.8501476017100584,0,Budget Shoppers
2114,1946,PhD,Single,82800.0,0,0,2012-11-24,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,3,11,1,68,582,1315,5,11.324195417595107,7.182352111885263,2,Family Focused
9736,1980,Graduation,Married,41850.0,1,1,2012-12-24,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,3,11,0,34,552,96,3,10.641870970494749,4.574710978503383,1,Premium Customers
4939,1946,Graduation,Together,37760.0,0,0,2012-08-31,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,3,11,0,68,667,317,3,10.539032102959615,5.762051382780177,1,Premium Customers
6565,1949,Master,Married,76995.0,0,1,2013-03-28,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,3,11,0,65,458,1782,4,11.251508751434526,7.48605261786314,3,High-Value Loyalists
2278,1985,2n Cycle,Single,33812.0,1,0,2012-11-03,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,3,11,0,29,603,133,2,10.428600622910189,4.897839799950911,0,Budget Shoppers
9360,1982,Graduation,Married,37040.0,0,0,2012-08-08,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,3,11,0,32,690,316,3,10.519780686235853,5.75890177387728,0,Budget Shoppers
5376,1979,Graduation,Married,2447.0,1,0,2013-01-06,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,3,11,0,35,539,1730,3,7.803026643632217,7.456454555176209,2,Family Focused
1993,1949,PhD,Married,58607.0,0,1,2012-12-23,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,3,11,0,65,553,972,5,10.978626485018596,6.880384082186005,3,High-Value Loyalists
4047,1954,PhD,Married,65324.0,0,1,2014-01-11,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,3,11,0,60,169,544,5,11.087130090388813,6.300785794663244,3,High-Value Loyalists
1409,1951,Graduation,Together,40689.0,0,1,2013-03-18,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,3,11,0,63,468,444,3,10.613737640995735,6.09807428216624,3,High-Value Loyalists
7892,1969,Graduation,Single,18589.0,0,0,2013-01-02,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,3,11,0,45,543,75,3,9.83037908071549,4.330733340286331,0,Budget Shoppers
2404,1976,Graduation,Married,53359.0,1,1,2013-05-27,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,3,11,0,38,398,257,3,10.884816680589505,5.552959584921617,1,Premium Customers
5255,1986,Graduation,Single,51373.0,1,0,2013-02-20,19,5,1,3,3,263,362,0,27,0,0,1,0,0,0,0,0,0,3,11,0,28,494,637,3,,6.45833828334479,3,High-Value Loyalists
9422,1989,Graduation,Married,38360.0,1,0,2013-05-31,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,3,11,0,25,394,131,3,10.554796597479278,4.882801922586371,0,Budget Shoppers
1966,1965,PhD,Married,84618.0,0,0,2013-11-22,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,3,11,0,49,219,1672,5,11.345914106667006,7.422373700986824,2,Family Focused
6864,1989,Master,Divorced,10979.0,0,0,2014-05-22,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,3,11,0,25,38,30,4,9.30383071506352,3.4339872044851463,0,Budget Shoppers
3033,1963,Master,Together,38620.0,0,0,2013-05-11,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,3,11,0,51,414,318,4,10.561551448966803,5.765191102784844,1,Premium Customers
5710,1970,Graduation,Together,40548.0,0,1,2012-10-10,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,3,11,0,44,627,120,3,10.61026639832702,4.795790545596741,1,Premium Customers
7373,1952,PhD,Divorced,46610.0,0,2,2012-10-29,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,3,11,1,62,608,302,5,10.749591843760111,5.713732805509369,3,High-Value Loyalists
8755,1946,Master,Married,68657.0,0,0,2013-02-20,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,3,11,0,68,494,1196,4,11.13689293754577,7.087573705557973,2,Family Focused
10738,1951,Master,Single,49389.0,1,1,2013-08-29,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,3,11,0,63,304,65,4,10.807503253534671,4.189654742026425,1,Premium Customers
4339,1970,PhD,Married,67353.0,0,1,2013-12-31,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,3,11,0,44,180,913,5,11.117717571314712,6.81783057145415,3,High-Value Loyalists
10755,1976,2n Cycle,Married,23718.0,1,0,2013-09-02,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,3,11,0,38,300,81,2,10.074031693706946,4.406719247264253,0,Budget Shoppers
8595,1973,Graduation,Widow,42429.0,0,1,2014-02-11,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,3,11,0,41,138,67,3,10.65561093819637,4.219507705176107,1,Premium Customers
2968,1943,PhD,Divorced,48948.0,0,0,2013-02-01,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,3,11,1,71,513,902,5,10.79853421874079,6.805722553416985,2,Family Focused
8601,1980,Graduation,Married,80011.0,0,1,2013-04-29,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,3,11,0,34,426,1395,3,11.289931902407144,7.241366283322318,2,Family Focused
503,1985,Master,Married,20559.0,1,0,2013-03-12,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,3,11,0,29,474,53,4,9.931102719569102,3.9889840465642745,0,Budget Shoppers
8430,1957,Graduation,Together,21994.0,0,1,2012-12-24,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,3,11,0,57,552,22,3,9.99857043378282,3.1354942159291497,1,Premium Customers
7281,1959,PhD,Single,51373.0,0,0,2013-11-05,80,81,11,50,3,2,39,1,1,3,4,2,0,0,0,0,0,0,3,11,0,55,236,186,5,,5.231108616854587,1,Premium Customers
2139,1975,Master,Married,7500.0,1,0,2013-10-02,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,3,11,0,39,270,31,4,8.922791623969637,3.4657359027997265,0,Budget Shoppers
1371,1976,Graduation,Single,79941.0,0,0,2014-06-28,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,3,11,0,38,1,984,3,11.289056650716423,6.892641641172089,2,Family Focused
9909,1996,2n Cycle,Married,7500.0,0,0,2012-11-09,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,3,11,1,18,597,122,2,8.922791623969637,4.812184355372417,0,Budget Shoppers
7286,1968,Graduation,Together,41728.0,1,0,2013-05-24,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,3,11,0,46,401,55,3,10.638951609723101,4.02535169073515,0,Budget Shoppers
7244,1951,Graduation,Single,51373.0,2,1,2014-01-01,96,48,5,48,6,10,7,3,2,1,4,6,0,0,0,0,0,0,3,11,0,63,179,124,3,,4.8283137373023015,1,Premium Customers
6566,1954,PhD,Married,72550.0,1,1,2012-11-08,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,3,11,0,60,598,1319,5,11.19204504181486,7.1853870155804165,3,High-Value Loyalists
8614,1957,Graduation,Widow,65486.0,0,1,2014-05-12,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,3,11,0,57,48,507,3,11.089606928642473,6.230481447578482,3,High-Value Loyalists
4114,1964,Master,Married,79143.0,0,0,2012-08-11,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,3,11,0,50,687,1693,4,11.279024257003059,7.434847875211999,2,Family Focused
1331,1977,Graduation,Single,35790.0,1,0,2013-01-02,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,3,11,0,37,543,72,3,10.485451744135313,4.290459441148391,0,Budget Shoppers
2225,1977,Graduation,Divorced,82582.0,0,0,2014-06-07,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,3,11,1,37,22,1617,3,11.321559127189037,7.388946097618437,2,Family Focused
9381,1978,Graduation,Married,66373.0,1,1,2013-06-12,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,3,11,0,36,382,606,3,11.103060692517378,6.408528791059498,3,High-Value Loyalists
6260,1955,Master,Together,82384.0,0,0,2012-11-19,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,3,11,1,59,587,1957,4,11.319158660491532,7.579678823090456,2,Family Focused
10383,1966,Graduation,Divorced,70287.0,0,0,2013-04-02,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,3,11,1,48,453,1093,3,11.160356366215561,6.9975959829819265,2,Family Focused
7437,1988,Graduation,Single,27938.0,1,0,2014-04-28,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,3,11,0,26,62,29,3,10.237778841189767,3.4011973816621555,0,Budget Shoppers
8557,1982,Graduation,Single,51373.0,1,0,2013-06-17,57,11,3,22,2,2,6,2,2,0,3,6,0,0,0,0,0,0,3,11,0,32,377,46,3,,3.8501476017100584,0,Budget Shoppers
8375,1968,PhD,Married,55954.0,0,1,2014-03-03,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,3,11,0,46,118,518,5,10.932303075252127,6.251903883165888,3,High-Value Loyalists
6853,1982,Master,Single,75777.0,0,0,2013-07-04,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,3,11,1,32,360,1438,4,11.2355632920364,7.271703706887368,2,Family Focused
3076,1975,Graduation,Together,66653.0,1,1,2012-09-07,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,3,11,0,39,660,612,3,11.107270338809778,6.418364935936212,3,High-Value Loyalists
1012,1952,Graduation,Single,61823.0,0,1,2013-02-18,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,3,11,0,62,496,884,3,11.03204691757219,6.785587645007929,3,High-Value Loyalists
6518,1951,PhD,Widow,67680.0,0,1,2013-06-11,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,3,11,0,63,383,606,5,11.122560769584661,6.408528791059498,3,High-Value Loyalists
4137,1948,Graduation,Together,70666.0,0,0,2013-12-06,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,3,11,0,66,205,1076,3,11.165733981956047,6.981934677156389,2,Family Focused
8082,1971,Graduation,Married,25721.0,1,0,2013-05-21,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,3,11,1,43,404,34,3,10.155101935826032,3.5553480614894135,0,Budget Shoppers
1386,1967,Graduation,Together,32474.0,1,1,2014-05-11,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,3,11,0,47,49,11,3,10.3882258415388,2.4849066497880004,1,Premium Customers
9369,1979,2n Cycle,Single,88194.0,0,1,2014-03-19,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,3,11,1,35,102,1274,2,11.387305551045577,7.150701457592526,2,Family Focused
4477,1958,Graduation,Together,69096.0,0,1,2013-09-27,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,3,11,0,56,275,653,3,11.143266593473202,6.483107351457199,3,High-Value Loyalists
1357,1970,Graduation,Together,74854.0,1,2,2013-04-08,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,3,11,0,44,447,1562,3,11.223308187883937,7.354362330421477,3,High-Value Loyalists
1402,1954,Master,Married,66991.0,0,0,2012-09-11,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,3,11,0,60,656,1253,4,11.112328488258925,7.134093721192866,2,Family Focused
10629,1973,2n Cycle,Married,51373.0,1,0,2012-09-14,25,25,3,43,17,4,17,3,3,0,3,8,0,0,0,0,0,0,3,11,0,41,653,109,2,,4.700480365792417,0,Budget Shoppers
6312,1959,Graduation,Married,65031.0,0,1,2013-03-17,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,3,11,0,55,469,863,3,11.082634735426408,6.761572768804055,3,High-Value Loyalists
8132,1975,PhD,Married,60631.0,1,1,2013-04-05,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,3,11,0,39,450,661,5,11.012578085491866,6.495265555937008,3,High-Value Loyalists
1050,1952,Graduation,Married,28332.0,0,0,2014-04-30,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,3,11,0,62,60,65,3,10.251782482029256,4.189654742026425,1,Premium Customers
5846,1977,Graduation,Divorced,40246.0,1,0,2012-12-19,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,3,11,0,37,557,13,3,10.60279074590741,2.6390573296152584,0,Budget Shoppers
1859,1972,Master,Married,75251.0,0,0,2012-08-27,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,3,11,1,42,671,1890,4,11.228597760331022,7.544861068658458,2,Family Focused
7503,1976,Graduation,Single,75825.0,0,0,2012-10-12,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,3,11,1,38,625,2209,3,11.236196520732264,7.700747794511798,2,Family Focused
10401,1976,2n Cycle,Together,26326.0,0,0,2013-09-04,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,3,11,0,38,298,18,2,10.17835030752565,2.9444389791664403,0,Budget Shoppers
1618,1965,Graduation,Together,56046.0,0,0,2013-01-02,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,3,11,1,49,543,692,3,10.933945903428258,6.541029999189903,3,High-Value Loyalists
3332,1985,Graduation,Single,29760.0,1,0,2012-08-29,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,3,11,0,29,669,165,3,10.300954090533025,5.111987788356544,0,Budget Shoppers
2261,1969,Graduation,Married,26304.0,1,0,2013-06-23,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,3,11,0,45,371,16,3,10.177514314164908,2.833213344056216,0,Budget Shoppers
5346,1973,2n Cycle,Married,23559.0,1,0,2013-07-03,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,3,11,0,41,361,79,2,10.067305637765523,4.382026634673881,0,Budget Shoppers
4119,1963,Master,Together,38620.0,0,0,2013-05-11,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,3,11,0,51,414,318,4,10.561551448966803,5.765191102784844,1,Premium Customers
535,1987,Graduation,Divorced,81361.0,0,0,2014-02-25,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,3,11,0,27,124,778,3,11.306663612524535,6.658011045870748,2,Family Focused
5268,1960,Graduation,Married,29440.0,1,1,2013-08-11,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,3,11,0,54,322,56,3,10.290143539657238,4.04305126783455,1,Premium Customers
273,1970,Master,Married,36138.0,1,1,2013-07-16,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,3,11,0,44,348,151,4,10.495127893591839,5.0238805208462765,1,Premium Customers
4452,1957,Graduation,Single,50388.0,0,1,2014-05-28,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,3,11,1,57,32,372,3,10.827528176270343,5.921578419643816,3,High-Value Loyalists
8504,1973,Graduation,Married,79593.0,0,0,2014-05-12,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,3,11,0,41,48,1366,3,11.284693992107073,7.220373836723949,2,Family Focused
771,1967,Graduation,Together,54178.0,0,1,2014-01-21,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,3,11,0,47,159,194,3,10.900048658473553,5.272999558563747,1,Premium Customers
8996,1957,PhD,Married,51373.0,2,1,2012-11-19,4,230,42,192,49,37,53,12,7,2,8,9,0,0,0,0,0,0,3,11,0,57,587,603,5,,6.403574197934815,3,High-Value Loyalists
9235,1957,Graduation,Single,51373.0,1,1,2014-05-27,45,7,0,8,2,0,1,1,1,0,2,7,0,0,0,0,0,0,3,11,0,57,33,18,3,,2.9444389791664403,1,Premium Customers
5798,1973,Master,Together,51373.0,0,0,2013-11-23,87,445,37,359,98,28,18,1,2,4,8,1,0,0,0,0,0,0,3,11,0,41,218,985,4,,6.893656354602635,2,Family Focused
11178,1972,Master,Single,42394.0,1,0,2014-03-23,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,3,11,0,42,98,32,4,10.654785709738103,3.4965075614664802,0,Budget Shoppers
2230,1970,PhD,Married,23626.0,1,0,2014-05-24,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,3,11,0,44,36,43,5,10.070145404863476,3.784189633918261,0,Budget Shoppers
7516,1983,Graduation,Married,30096.0,1,0,2014-05-22,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,3,11,0,31,38,45,3,10.312180777995717,3.828641396489095,0,Budget Shoppers
7247,1960,Graduation,Widow,47916.0,0,1,2012-11-22,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,3,11,0,54,584,606,3,10.77722562648903,6.408528791059498,3,High-Value Loyalists
11100,1972,Graduation,Divorced,51813.0,1,1,2013-04-11,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,3,11,0,42,444,63,3,10.855415662001414,4.1588830833596715,1,Premium Customers
4646,1951,2n Cycle,Married,78497.0,0,0,2013-12-01,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,3,11,0,63,210,978,2,11.270828425738932,6.88653164253051,2,Family Focused
3037,1983,PhD,Married,50150.0,0,0,2013-06-20,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,3,11,0,31,374,410,5,10.822793733370741,6.018593214496234,0,Budget Shoppers
1473,1960,2n Cycle,Single,47823.0,0,1,2013-07-23,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,3,11,0,54,341,72,2,10.775282884523719,4.290459441148391,1,Premium Customers
1016,1959,PhD,Single,34554.0,0,1,2014-03-30,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,3,11,0,55,91,55,5,10.450307536525495,4.02535169073515,1,Premium Customers
4518,1979,Graduation,Together,85693.0,0,1,2013-04-20,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,3,11,0,35,435,1169,3,11.358538090466329,7.064759027791802,2,Family Focused
9370,1945,PhD,Married,65846.0,0,0,2013-05-17,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,3,11,0,69,408,1120,5,11.095089148047066,7.02197642307216,2,Family Focused
8908,1959,Graduation,Married,87195.0,0,0,2014-05-08,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,3,11,1,55,52,1097,3,11.375913737285305,7.001245622069476,2,Family Focused
8373,1979,Basic,Together,24594.0,1,0,2013-12-10,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,3,11,0,35,201,29,1,10.11029844922944,3.4011973816621555,0,Budget Shoppers
7533,1964,Graduation,Married,49096.0,1,1,2013-09-24,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,3,11,0,50,278,187,3,10.80155321211961,5.236441962829949,1,Premium Customers
2683,1969,Graduation,Married,52413.0,0,2,2013-02-02,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,3,11,0,45,512,910,3,10.866929010196616,6.814542897259958,3,High-Value Loyalists
3629,1978,Graduation,Single,38557.0,1,0,2012-12-19,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,3,11,0,36,557,145,3,10.559918880159413,4.983606621708336,0,Budget Shoppers
10991,1960,Master,Married,89058.0,0,0,2012-12-07,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,3,11,0,54,569,850,4,11.397054350427297,6.7464121285733745,2,Family Focused
5077,1979,Graduation,Together,77298.0,0,1,2013-11-02,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,3,11,0,35,239,969,3,11.255436297881227,6.877296071497429,2,Family Focused
7431,1991,PhD,Single,68126.0,0,0,2012-11-10,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,3,11,1,23,596,1820,5,11.129128889332778,7.507141079727608,2,Family Focused
3267,1963,Master,Together,57288.0,0,1,2014-06-25,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,3,11,0,51,4,608,4,10.955863912197044,6.411818267709897,3,High-Value Loyalists
999,1991,Graduation,Single,86037.0,0,0,2013-01-02,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,3,11,1,23,543,730,3,11.362544338109172,6.594413459749778,2,Family Focused
9215,1980,PhD,Married,43974.0,1,0,2012-12-12,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,3,11,0,34,564,551,5,10.691376569605758,6.313548046277095,0,Budget Shoppers
2286,1962,Graduation,Single,50785.0,1,1,2013-09-10,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,3,11,0,52,292,114,3,10.835376005033337,4.74493212836325,1,Premium Customers
1592,1970,Graduation,Married,90765.0,0,0,2014-01-24,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,3,11,0,44,156,1724,3,11.416040045126518,7.45298232946546,2,Family Focused
367,1978,2n Cycle,Married,36550.0,1,0,2013-02-19,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,3,11,0,36,495,577,2,10.506463824584774,6.359573868672378,3,High-Value Loyalists
5234,1967,2n Cycle,Together,30753.0,1,1,2013-07-11,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,3,11,0,47,353,81,2,10.333775346075639,4.406719247264253,1,Premium Customers
9862,1969,Graduation,Together,21918.0,1,0,2013-11-14,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,3,11,0,45,227,33,3,9.995109119583352,3.5263605246161616,0,Budget Shoppers
9805,1953,Master,Together,56129.0,0,1,2013-06-20,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,3,11,0,61,374,660,4,10.935425707936245,6.493753839851686,3,High-Value Loyalists
6205,1967,Master,Single,32557.0,1,0,2014-02-24,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,3,11,1,47,125,80,4,10.390778393168455,4.394449154672439,0,Budget Shoppers
8442,1985,Master,Married,19510.0,2,0,2013-09-04,63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,3,11,0,29,298,30,4,9.878733688069898,3.4339872044851463,0,Budget Shoppers
7386,1976,Graduation,Divorced,30992.0,1,0,2013-04-22,83,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,3,11,0,38,433,43,3,10.341516651517555,3.784189633918261,0,Budget Shoppers
7215,1983,Graduation,Single,101970.0,0,0,2013-03-12,69,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,0,3,11,1,31,474,1135,3,11.532443738116108,7.035268599281097,2,Family Focused
1491,1965,2n Cycle,Together,71488.0,0,0,2013-02-18,87,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,3,11,0,49,496,559,2,11.17729887069272,6.327936783729195,2,Family Focused
11071,1984,Graduation,Single,79607.0,0,0,2013-04-21,37,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,0,3,11,1,30,434,1923,3,11.284869869294997,7.562161631225652,2,Family Focused
